seed,Status,Completed at,Time taken,Age,Gender,Highest education level completed,Language,Fluent languages
188295410195,AWAITING REVIEW,2024-02-17T07:12:08.395000Z,610.0,28,Non-binary (would like to give more detail),Undergraduate degree (BA/BSc/other),English,"Afrikaans, English, Twi"
181817246819,APPROVED,2024-02-16T18:46:30.743000Z,382.0,24,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Polish,"Belarusian, English, French, Italian, German, Polish, Spanish, Ukrainian, Russian"
135033103518,APPROVED,2024-02-16T14:21:55.053000Z,486.0,22,Non-binary (would like to give more detail),High school diploma/A-levels,Polish,"English, Polish"
38308379467,APPROVED,2024-02-16T18:40:35.064000Z,1270.0,25,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
144259767630,APPROVED,2024-02-16T19:14:09.790000Z,803.0,35,Woman (including Trans Female/Trans Woman),Doctorate degree (PhD/other),Greek,"English, Greek"
114072847093,APPROVED,2024-02-16T18:53:10.274000Z,798.0,23,Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),English,English
120328881642,AWAITING REVIEW,2024-02-17T07:08:01.944000Z,718.0,56,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Afrikaans,"Afrikaans, English"
125235937353,APPROVED,2024-02-17T05:39:52.994000Z,833.0,28,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
78613359629,APPROVED,2024-02-16T13:49:06.018000Z,743.0,23,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
32688641464,APPROVED,2024-02-16T16:20:00.309000Z,418.0,36,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),English,"English, Italian, Russian"
59390868820,APPROVED,2024-02-16T16:34:58.551000Z,362.0,20,Man (including Trans Male/Trans Man),High school diploma/A-levels,Polish,"Polish, English"
153387291931,APPROVED,2024-02-16T13:30:21.566000Z,763.0,28,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),English,English
13701547420,APPROVED,2024-02-16T13:53:33.456000Z,1004.0,31,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,"English, Portuguese"
988423215,AWAITING REVIEW,2024-02-17T07:11:42.177000Z,987.0,41,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
39798312514,APPROVED,2024-02-16T19:10:21.249000Z,568.0,25,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Spanish,"English, Spanish"
155295006814,APPROVED,2024-02-16T14:28:38.101000Z,1114.0,24,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
207907090835,APPROVED,2024-02-16T16:49:52.880000Z,365.0,26,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portuguese,"English, Portuguese"
32358710315,APPROVED,2024-02-16T17:00:29.181000Z,1024.0,30,Woman (including Trans Female/Trans Woman),Doctorate degree (PhD/other),English,English
208473991322,APPROVED,2024-02-16T16:09:36.210000Z,1342.0,24,Woman (including Trans Female/Trans Woman),Technical/community college,English,English
160513159177,APPROVED,2024-02-16T14:40:01.574000Z,444.0,32,Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),English,English
